epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,6275.15,0.7273,0.66768,1.20729,0.84752,0.76746,0.88096,0.63393,0.96534,0.76899,1.37302,0.000852837,0.000852837,0.000852837
76,6353.87,0.73147,0.66243,1.20444,0.79979,0.74535,0.82104,0.6142,0.91923,0.85347,1.30719,0.000841835,0.000841835,0.000841835
77,6441.55,0.72491,0.66062,1.20308,0.75852,0.74444,0.82942,0.58661,0.97287,0.8968,1.36326,0.000830833,0.000830833,0.000830833
78,6515.81,0.73989,0.67723,1.21539,0.78359,0.79118,0.85572,0.60483,1.01318,0.81847,1.44809,0.000819831,0.000819831,0.000819831
79,6590.1,0.73035,0.66624,1.20887,0.80474,0.8022,0.87913,0.66343,0.94448,0.73285,1.36412,0.000808828,0.000808828,0.000808828
80,6674.58,0.7174,0.66044,1.19693,0.84026,0.7952,0.87698,0.61208,1.07628,0.80154,1.50503,0.000797826,0.000797826,0.000797826
81,6761.16,0.73533,0.66783,1.21737,0.73729,0.81703,0.85265,0.62192,0.94036,0.83883,1.36126,0.000786824,0.000786824,0.000786824
82,6839.08,0.70441,0.64206,1.18863,0.8451,0.84638,0.90335,0.63715,1.05728,0.74264,1.45717,0.000775822,0.000775822,0.000775822
83,6919.85,0.70961,0.64642,1.19375,0.86118,0.78149,0.8913,0.6459,1.0366,0.72738,1.44122,0.00076482,0.00076482,0.00076482
84,6994.29,0.70416,0.66115,1.19786,0.8146,0.85207,0.88586,0.61874,1.05502,0.71664,1.46667,0.000753817,0.000753817,0.000753817
85,7065.95,0.70322,0.63851,1.19171,0.83084,0.84215,0.88885,0.62791,1.07253,0.72884,1.47654,0.000742815,0.000742815,0.000742815
86,7142.59,0.68173,0.6449,1.17273,0.81236,0.83259,0.8733,0.62232,1.01747,0.79286,1.44173,0.000731813,0.000731813,0.000731813
87,7225.87,0.67786,0.62934,1.17068,0.71734,0.86036,0.88207,0.63646,0.99679,0.72834,1.44065,0.000720811,0.000720811,0.000720811
88,7304.21,0.68859,0.62398,1.18326,0.82551,0.8775,0.90706,0.65098,0.99872,0.63577,1.42167,0.000709809,0.000709809,0.000709809
89,7393.86,0.67915,0.61664,1.17429,0.8384,0.8229,0.87828,0.63307,0.95106,0.77753,1.34051,0.000698806,0.000698806,0.000698806
90,7468.62,0.69836,0.61579,1.18907,0.81788,0.78648,0.85682,0.62593,0.96005,0.83836,1.40282,0.000687804,0.000687804,0.000687804
91,7541.87,0.68928,0.62158,1.18187,0.83577,0.83924,0.88436,0.62242,1.0479,0.8243,1.50512,0.000676802,0.000676802,0.000676802
92,7622.51,0.68984,0.63762,1.1815,0.8452,0.79566,0.88659,0.65384,0.95173,0.77139,1.38422,0.0006658,0.0006658,0.0006658
93,7701.28,0.66376,0.60926,1.17409,0.87077,0.79426,0.8981,0.64838,0.9991,0.73378,1.43912,0.000654798,0.000654798,0.000654798
94,7776.54,0.65467,0.59694,1.15681,0.81328,0.78844,0.87677,0.58149,1.0219,0.79979,1.50947,0.000643795,0.000643795,0.000643795
95,7851.68,0.67315,0.59665,1.16067,0.81365,0.78572,0.86816,0.61362,0.9788,0.78173,1.44336,0.000632793,0.000632793,0.000632793
96,7932.05,0.65072,0.59635,1.1544,0.82429,0.79506,0.86713,0.61979,0.98939,0.79035,1.44855,0.000621791,0.000621791,0.000621791
97,8012.85,0.6499,0.58424,1.15449,0.858,0.79633,0.89709,0.66581,0.9984,0.73726,1.41444,0.000610789,0.000610789,0.000610789
98,8088.88,0.66462,0.6083,1.1676,0.8017,0.87072,0.89069,0.65132,0.97788,0.71304,1.40341,0.000599787,0.000599787,0.000599787
99,8159.39,0.66271,0.59511,1.16984,0.85742,0.7881,0.85002,0.6244,0.9692,0.78351,1.39663,0.000588784,0.000588784,0.000588784
100,8231.12,0.64713,0.58057,1.15673,0.80726,0.84172,0.88252,0.64714,0.96691,0.73207,1.4128,0.000577782,0.000577782,0.000577782
101,8307.47,0.64786,0.57454,1.15147,0.87224,0.70741,0.87363,0.60266,1.09856,0.79498,1.58243,0.00056678,0.00056678,0.00056678
102,8387.41,0.64888,0.5618,1.14096,0.76522,0.87077,0.87719,0.62438,1.10187,0.766,1.5745,0.000555778,0.000555778,0.000555778
103,8459.37,0.66258,0.59161,1.16631,0.81634,0.79309,0.88135,0.63268,1.01764,0.75348,1.44373,0.000544776,0.000544776,0.000544776
104,8538.18,0.63671,0.55112,1.14831,0.81596,0.77138,0.87371,0.63409,0.99216,0.78328,1.43259,0.000533773,0.000533773,0.000533773
105,8619.22,0.63764,0.56672,1.14666,0.80838,0.83016,0.88608,0.64868,0.96918,0.77069,1.39025,0.000522771,0.000522771,0.000522771
106,8691.91,0.62969,0.5488,1.13862,0.77479,0.79206,0.85551,0.62484,1.01399,0.83793,1.46143,0.000511769,0.000511769,0.000511769
107,8767.09,0.6286,0.56253,1.13602,0.86218,0.76843,0.87581,0.64227,0.93835,0.76135,1.36953,0.000500767,0.000500767,0.000500767
108,8848.88,0.63449,0.55344,1.14559,0.8161,0.82491,0.88711,0.65887,0.97341,0.7149,1.43399,0.000489765,0.000489765,0.000489765
109,8921.58,0.63149,0.55812,1.15705,0.83535,0.79409,0.86922,0.63918,0.95019,0.77916,1.41369,0.000478762,0.000478762,0.000478762
110,8997.7,0.6107,0.54662,1.13691,0.83829,0.77981,0.86743,0.63387,1.01001,0.81542,1.44112,0.00046776,0.00046776,0.00046776
111,9071.75,0.62364,0.54909,1.12645,0.83224,0.7901,0.87506,0.63901,0.97512,0.77793,1.42867,0.000456758,0.000456758,0.000456758
112,9147.84,0.59853,0.51557,1.11967,0.8426,0.78639,0.8831,0.64862,0.97599,0.80545,1.43053,0.000445756,0.000445756,0.000445756
113,9223.44,0.61075,0.53811,1.12466,0.79113,0.82472,0.86844,0.64253,0.96152,0.80368,1.3909,0.000434754,0.000434754,0.000434754
114,9295.3,0.6108,0.52105,1.12738,0.88652,0.77169,0.89662,0.65423,0.96491,0.66711,1.44883,0.000423751,0.000423751,0.000423751
115,9369.09,0.60509,0.52878,1.11959,0.84481,0.79073,0.88201,0.64055,0.98952,0.72065,1.45533,0.000412749,0.000412749,0.000412749
116,9441.2,0.60391,0.52182,1.1174,0.77786,0.81781,0.88132,0.63231,0.99156,0.73503,1.44515,0.000401747,0.000401747,0.000401747
117,9514.43,0.59226,0.5081,1.12053,0.8379,0.82879,0.90698,0.63767,1.05219,0.66997,1.56249,0.000390745,0.000390745,0.000390745
118,9591.24,0.62278,0.56547,1.14031,0.85331,0.77496,0.8987,0.65027,0.99694,0.68735,1.4475,0.000379743,0.000379743,0.000379743
119,9667.18,0.6038,0.52891,1.12151,0.81763,0.80277,0.88942,0.64726,1.02086,0.7315,1.49619,0.00036874,0.00036874,0.00036874
120,9738.23,0.5917,0.51052,1.12091,0.78847,0.81589,0.88399,0.63821,0.99749,0.75161,1.43999,0.000357738,0.000357738,0.000357738
121,9806.87,0.57565,0.50366,1.10858,0.81278,0.83752,0.87355,0.64404,0.99572,0.75787,1.48298,0.000346736,0.000346736,0.000346736
122,9903.12,0.59627,0.50448,1.12817,0.78919,0.86781,0.89973,0.6413,0.97699,0.73331,1.45417,0.000335734,0.000335734,0.000335734
123,9974.22,0.57989,0.5219,1.11445,0.80144,0.85499,0.88814,0.65348,0.98457,0.75948,1.45515,0.000324732,0.000324732,0.000324732
124,10046.5,0.57402,0.50262,1.10621,0.86777,0.81092,0.90466,0.64952,0.98602,0.73726,1.45507,0.000313729,0.000313729,0.000313729
125,10119.3,0.57792,0.49972,1.10534,0.85862,0.80017,0.87586,0.64512,0.98793,0.74825,1.46099,0.000302727,0.000302727,0.000302727
126,10192.2,0.57201,0.49124,1.1161,0.82513,0.8161,0.87819,0.64295,0.98819,0.78167,1.46008,0.000291725,0.000291725,0.000291725
127,10266.8,0.56768,0.49936,1.10298,0.85669,0.83708,0.90099,0.66376,0.96032,0.71586,1.40709,0.000280723,0.000280723,0.000280723
128,10343.6,0.56791,0.49767,1.10455,0.83989,0.81732,0.89102,0.65527,0.94339,0.76929,1.40437,0.000269721,0.000269721,0.000269721
129,10422.3,0.55659,0.48652,1.09916,0.80145,0.83404,0.88107,0.64629,0.96233,0.76543,1.39319,0.000258718,0.000258718,0.000258718
130,10500.5,0.55911,0.47823,1.08842,0.81963,0.84057,0.88747,0.65615,0.93443,0.73681,1.37802,0.000247716,0.000247716,0.000247716
131,10578.2,0.54677,0.47384,1.09536,0.83679,0.86014,0.88881,0.64894,0.92944,0.73286,1.37904,0.000236714,0.000236714,0.000236714
132,10657.8,0.54866,0.47163,1.09131,0.88553,0.81908,0.89063,0.64549,0.97227,0.75357,1.44258,0.000225712,0.000225712,0.000225712
133,10735.2,0.54813,0.4742,1.09474,0.86077,0.81707,0.89256,0.65578,0.94033,0.71543,1.42101,0.00021471,0.00021471,0.00021471
134,10815.1,0.54246,0.45941,1.08365,0.82886,0.8504,0.89305,0.64737,0.96131,0.73408,1.41469,0.000203707,0.000203707,0.000203707
135,10886.5,0.55306,0.47786,1.09907,0.85236,0.8148,0.88423,0.64705,0.94917,0.76781,1.39818,0.000192705,0.000192705,0.000192705
136,10965.9,0.54362,0.46423,1.09335,0.85344,0.82072,0.89675,0.65213,0.97242,0.74753,1.40682,0.000181703,0.000181703,0.000181703
137,11043.8,0.54937,0.46239,1.08701,0.83151,0.84693,0.88493,0.65137,0.95034,0.7213,1.3893,0.000170701,0.000170701,0.000170701
138,11117.3,0.54006,0.4513,1.08411,0.87158,0.83653,0.8913,0.66243,0.9235,0.68931,1.38771,0.000159699,0.000159699,0.000159699
139,11187.9,0.52892,0.45965,1.0783,0.85807,0.84021,0.8909,0.66488,0.92771,0.70225,1.36498,0.000148696,0.000148696,0.000148696
140,11261.8,0.53641,0.45355,1.07723,0.86465,0.81177,0.88965,0.66628,0.95005,0.74034,1.42214,0.000137694,0.000137694,0.000137694
141,11398.2,0.40287,0.30363,1.04493,0.83354,0.8024,0.88374,0.62989,0.96309,0.73297,1.43165,0.000126692,0.000126692,0.000126692
142,11469.9,0.37937,0.26688,1.01763,0.82829,0.80496,0.88102,0.63179,0.9626,0.73535,1.43774,0.00011569,0.00011569,0.00011569
143,11541.9,0.35895,0.25086,1.00296,0.77656,0.87652,0.88962,0.64583,0.94723,0.74678,1.43262,0.000104688,0.000104688,0.000104688
144,11613.8,0.36143,0.2545,0.99999,0.78837,0.86514,0.87997,0.63865,0.95771,0.73373,1.43864,9.36854e-05,9.36854e-05,9.36854e-05
145,11686.3,0.34686,0.24031,0.99495,0.80697,0.86932,0.8924,0.64423,0.99193,0.73269,1.47968,8.26832e-05,8.26832e-05,8.26832e-05
146,11758.6,0.3498,0.25519,0.99143,0.77605,0.86781,0.88,0.64885,0.93543,0.73769,1.44002,7.1681e-05,7.1681e-05,7.1681e-05
147,11831.7,0.34979,0.23591,0.99329,0.85343,0.80838,0.89119,0.64857,0.95936,0.74418,1.4542,6.06788e-05,6.06788e-05,6.06788e-05
148,11904.2,0.35326,0.24449,1.00755,0.8214,0.83067,0.88692,0.65394,0.95873,0.73212,1.45457,4.96766e-05,4.96766e-05,4.96766e-05
149,11976.9,0.33743,0.23928,0.98301,0.81999,0.83417,0.88866,0.65036,0.94685,0.73793,1.43915,3.86744e-05,3.86744e-05,3.86744e-05
150,12050,0.34213,0.23087,0.98318,0.80553,0.85547,0.89725,0.6526,0.94958,0.73178,1.44668,2.76722e-05,2.76722e-05,2.76722e-05
